intent,patterns,response_en,response_ml
crop_disease,Solution for Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Remedy for Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to manage Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Ways to cure Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Remedy for Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Treatment of Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Treatment of Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to manage Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Solution for Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,How to manage Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
crop_disease,Cure for Apple   Apple scab,Apply fungicide and prune affected areas,ബാധിത ഭാഗങ്ങൾ നീക്കം ചെയ്ത് ഫംഗിസൈഡ് പ്രയോഗിക്കുക
